aluno,imagem,animal_id,ponto,x,y,visibilidade
13 - Juliano - Complemento (pronto),RLC4_00_20260114221438_baia10_RLC4.jpg,RLC4,withers,10.714656371297506,49.504950495049506,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221438_baia10_RLC4.jpg,RLC4,back,39.367332959711064,49.834983498349835,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221438_baia10_RLC4.jpg,RLC4,hook up,67.6588413558337,10.231023102310232,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221438_baia10_RLC4.jpg,RLC4,hook down,69.94623990700957,85.14851485148515,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221438_baia10_RLC4.jpg,RLC4,hip,71.7520808684642,48.18481848184818,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221438_baia10_RLC4.jpg,RLC4,tail head,85.83764036781037,47.524752475247524,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221438_baia10_RLC4.jpg,RLC4,pin up,92.21827843161674,27.722772277227726,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221438_baia10_RLC4.jpg,RLC4,pin down,91.61633144446519,70.95709570957096,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221037_baia1_RLC4.jpg,RLC4,withers,8.78459687123947,32.81978689529202,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221037_baia1_RLC4.jpg,RLC4,back,35.13838748495788,34.16486012870563,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221037_baia1_RLC4.jpg,RLC4,hook up,66.54632972322503,9.684527280577973,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221037_baia1_RLC4.jpg,RLC4,hook down,64.38026474127557,80.166364711451,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221037_baia1_RLC4.jpg,RLC4,hip,66.30565583634176,40.0831823557255,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221037_baia1_RLC4.jpg,RLC4,tail head,83.8748495788207,44.38741670264905,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221037_baia1_RLC4.jpg,RLC4,pin up,96.87123947051745,33.626830835340186,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114221037_baia1_RLC4.jpg,RLC4,pin down,96.14921780986762,65.37055914390132,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114204813_baia6_RLC4.jpg,RLC4,withers,9.747292418772563,39.39548569548236,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114204813_baia6_RLC4.jpg,RLC4,back,41.51624548736462,35.565369030643794,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114204813_baia6_RLC4.jpg,RLC4,hook up,64.62093862815884,9.84887142387059,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114204813_baia6_RLC4.jpg,RLC4,hook down,61.973525872442835,74.1401154408036,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114204813_baia6_RLC4.jpg,RLC4,hip,65.70397111913357,34.19747022177288,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114204813_baia6_RLC4.jpg,RLC4,tail head,82.91215403128761,38.57474641015981,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114204813_baia6_RLC4.jpg,RLC4,pin up,93.7424789410349,30.36735355693432,Visível
13 - Juliano - Complemento (pronto),RLC4_00_20260114204813_baia6_RLC4.jpg,RLC4,pin down,92.90012033694343,63.74408449338465,Visível
